race_id	horse_id	target_mod	target	rank	tansho_odds	popularity	race_class	month	pred	calibrated_pred	expected_value	calibrated_expected_value
202410010207	6220	1	1	1	3.0	1	1	0	0.26745155445773633	0.24095139607032057	0.802354663373209	0.7228541882109617
202410010207	6559	0	0	2	20.8	9	1	0	0.048229600710934364	0.04225352112676056	1.0031756947874348	0.8788732394366198
202410010207	4460	0	0	3	5.2	2	1	0	0.18082141162820223	0.16877637130801687	0.9402713404666516	0.8776371308016877
202410010207	5253	0	0	4	14.0	7	1	0	0.046278289179270016	0.035748792270531404	0.6478960485097802	0.5004830917874397
202410010207	7581	0	0	5	8.2	4	1	0	0.13507292696784368	0.1111111111111111	1.107598001136318	0.911111111111111
202410010207	4346	0	0	6	55.2	10	1	0	0.02714953834982511	0.022779043280182234	1.4986545169103462	1.2574031890660593
202410010207	5005	0	0	7	184.0	11	1	0	0.006865518168412039	0.0012414649286157666	1.263255342987815	0.22842954686530106
202410010207	7058	0	0	8	10.2	6	1	0	0.08645032259767721	0.08482490272373541	0.8817932904963075	0.8652140077821011
202410010207	7454	0	0	9	8.8	5	1	0	0.0654980110550874	0.06650544135429262	0.5763824972847692	0.5852478839177752
202410010207	4293	0	0	10	6.0	3	1	0	0.11214701431860308	0.1058282208588957	0.6728820859116185	0.6349693251533742
202410010207	5984	0	0	11	14.1	8	1	0	0.05376631537539682	0.0520431765612953	0.7581050467930951	0.7338087895142636
202410010207	6213	0	0	12	193.1	12	1	0	0.006667903185539094	0.0012414649286157666	1.287572105127599	0.23972687771570453
202410010207	7182	0	0	13	363.6	15	1	0	0.007407591990611887	0.002932551319648094	2.693400447786482	1.066275659824047
202410010207	5051	0	0	14	249.9	13	1	0	0.0070308458361376175	0.0012414649286157666	1.7570083744507907	0.3102420856610801
202410010207	4378	0	0	15	436.0	16	1	0	0.006667903185539094	0.0012414649286157666	2.907205788895045	0.5412787088764742
202410010207	3835	0	0	16	301.1	14	1	0	0.007261086261594242	0.002644336712208021	2.1863130733660263	0.7962097840458352
202409010807	3341	1	1	1	3.1	1	2	2	0.2943029635697249	0.2688821752265861	0.9123391870661473	0.8335347432024169
202409010807	1147	0	0	2	31.8	7	2	2	0.047277258957801875	0.035748792270531404	1.5034168348580996	1.1368115942028987
202409010807	808	0	0	3	3.6	2	2	2	0.2049177663219412	0.189873417721519	0.7377039587589883	0.6835443037974684
202409010807	455	0	0	4	4.9	4	2	2	0.1844588198347738	0.16931982633863968	0.9038482171903917	0.8296671490593345
202409010807	2902	0	0	5	25.8	6	2	2	0.03392181347999133	0.023792862141357594	0.8751827877837765	0.6138558432470259
202409010807	2589	0	0	6	7.1	5	2	2	0.16520979173885444	0.13915857605177995	1.1729895213458665	0.9880258899676376
202409010807	2799	0	0	7	4.3	3	2	2	0.15907952603234304	0.12564543889845095	0.6840419619390751	0.540275387263339
202409010807	2093	0	0	8	72.1	8	2	2	0.01584399174343657	0.007532956685499058	1.1423518047017767	0.5431261770244821
202408010306	6719	1	1	1	5.7	4	1	0	0.19836193452536308	0.189873417721519	1.1306630267945696	1.0822784810126584
202408010306	6257	1	0	2	30.1	8	1	0	0.048032878213552684	0.04225352112676056	1.445789634227936	1.271830985915493
202408010306	7967	1	0	3	46.5	10	1	0	0.017333031222198016	0.013140604467805518	0.8059859518322078	0.6110381077529566
202408010306	6002	0	0	4	10.8	6	1	0	0.0813030487413826	0.08	0.8780729264069321	0.8640000000000001
202408010306	6094	0	0	5	113.1	12	1	0	0.018448235198372562	0.015126050420168067	2.0864954009359367	1.7107563025210084
202408010306	4229	0	0	6	318.1	17	1	0	0.0067513944685650175	0.0012414649286157666	2.147618580450532	0.3949099937926754
202408010306	7912	0	0	7	4.9	3	1	0	0.1262596538968726	0.1111111111111111	0.6186723040946758	0.5444444444444445
202408010306	4414	0	0	8	160.0	13	1	0	0.007091663815535918	0.0012414649286157666	1.1346662104857468	0.19863438857852267
202408010306	6435	0	0	9	4.4	2	1	0	0.210985876091214	0.20592193808882908	0.9283378548013417	0.906056527590848
202408010306	6292	0	0	10	38.8	9	1	0	0.02592905433584752	0.022779043280182234	1.0060473082308836	0.8838268792710706
202408010306	6716	0	0	11	3.8	1	1	0	0.23136094908486357	0.20592193808882908	0.8791716065224815	0.7825033647375504
202408010306	6739	0	0	12	7.7	5	1	0	0.11740028022638566	0.1111111111111111	0.9039821577431696	0.8555555555555555
202408010306	6878	0	0	13	26.5	7	1	0	0.033679467401257206	0.023792862141357594	0.8925058861333159	0.6305108467459762
202408010306	7377	0	0	14	81.7	11	1	0	0.013853148832661491	0.006495615459564794	1.1318022596284438	0.5306917830464437
202408010306	6867	0	0	15	236.0	15	1	0	0.0073419300774027856	0.002932551319648094	1.7326954982670575	0.6920821114369502
202408010306	7471	0	0	16	206.8	14	1	0	0.00731338277623723	0.002932551319648094	1.5124075581258594	0.6064516129032258
202408010306	5431	0	0	17	377.1	18	1	0	0.006667903185539094	0.0012414649286157666	2.5144662912667926	0.4681564245810056
202408010306	6535	0	0	18	284.1	16	1	0	0.0067513944685650175	0.0012414649286157666	1.9180711685193217	0.3527001862197393
202409020507	2411	1	1	1	3.0	1	2	3	0.19691133069513359	0.189873417721519	0.5907339920854008	0.569620253164557
202409020507	1635	0	0	2	89.6	9	2	3	0.012545981812692331	0.006495615459564794	1.1241199704172329	0.5820071451770055
202409020507	1748	0	0	3	3.7	3	2	3	0.2612860281163664	0.24095139607032057	0.9667583040305558	0.8915201654601861
202409020507	2338	0	0	4	174.0	11	2	3	0.010415647839963597	0.00425531914893617	1.812322724153666	0.7404255319148936
202409020507	2419	0	0	5	38.1	8	2	3	0.025127581268390372	0.022779043280182234	0.9573608463256732	0.8678815489749432
202409020507	933	0	0	6	3.1	2	2	3	0.2636068630198617	0.24095139607032057	0.8171812753615713	0.7469493278179937
202409020507	3191	0	0	7	29.9	6	2	3	0.030218002299177604	0.023792862141357594	0.9035182687454103	0.711406578026592
202409020507	3048	0	0	8	9.0	4	2	3	0.2664809162341618	0.24095139607032057	2.3983282461074564	2.168562564632885
202409020507	1427	0	0	9	103.7	10	2	3	0.011975821680835516	0.006495615459564794	1.241892708302643	0.6735953231568691
202409020507	1597	0	0	10	290.0	12	2	3	0.006896881124621065	0.0012414649286157666	2.0000955261401088	0.3600248292985723
202409020507	2827	0	0	11	30.6	7	2	3	0.03018855719123368	0.023792862141357594	0.9237698500517506	0.7280615815255425
202404040110	4839	1	1	1	4.9	3	5	9	0.12434985932366736	0.1111111111111111	0.6093143106859701	0.5444444444444445
202404040110	6358	1	0	2	3.5	2	5	9	0.23942688274016513	0.24095139607032057	0.837994089590578	0.843329886246122
202404040110	3040	0	0	3	28.1	8	5	9	0.04656059709571124	0.035748792270531404	1.308352778389486	1.0045410628019324
202404040110	2832	0	0	4	11.3	6	5	9	0.1178806239135055	0.1111111111111111	1.3320510502226122	1.2555555555555555
202404040110	3128	0	0	5	3.5	1	5	9	0.15538248643783376	0.12564543889845095	0.5438387025324182	0.43975903614457834
202404040110	1118	0	0	6	176.4	16	5	9	0.006845810298271365	0.0012414649286157666	1.2076009366150688	0.21899441340782125
202404040110	2819	0	0	7	66.9	12	5	9	0.015469916608451144	0.007532956685499058	1.0349374211053817	0.503954802259887
202404040110	5492	0	0	8	10.6	5	5	9	0.10345279403926341	0.09271523178807947	1.0965996168161922	0.9827814569536424
202404040110	6306	0	0	9	36.0	10	5	9	0.02499193868603193	0.022779043280182234	0.8997097926971496	0.8200455580865604
202404040110	497	0	0	10	118.1	14	5	9	0.00872652035591592	0.003669724770642202	1.03060205403367	0.433394495412844
202404040110	4838	0	0	11	10.2	4	5	9	0.07609254029902293	0.0681159420289855	0.7761439110500339	0.694782608695652
202404040110	5196	0	0	12	29.6	9	5	9	0.043417536108135826	0.035748792270531404	1.2851590688008205	1.0581642512077296
202404040110	4648	0	0	13	56.9	11	5	9	0.023269306504155388	0.019950997549877492	1.3240235400864415	1.1352117605880292
202404040110	2350	0	0	14	27.6	7	5	9	0.07567100240065336	0.0681159420289855	2.088519666258033	1.8799999999999997
202404040110	7424	0	0	15	207.6	17	5	9	0.0067486807933068455	0.0012414649286157666	1.4010261326905011	0.25772811918063315
202404040110	2117	0	0	16	161.6	15	5	9	0.007161968665484819	0.002644336712208021	1.1573741363423466	0.4273248126928162
